iter	MultiClass
2080	0.002698954974
2081	0.002697611788
2082	0.00269675796
2083	0.002695503029
2084	0.002694718316
2085	0.002693256715
2086	0.00269178728
2087	0.002690951572
2088	0.002689298591
2089	0.002688293275
2090	0.002686820921
2091	0.002685370293
2092	0.002684173624
2093	0.00268267079
2094	0.002681327986
2095	0.002678951124
2096	0.002677510198
2097	0.00267630133
2098	0.002673983593
2099	0.002672601619
2100	0.002670891215
2101	0.002669935312
2102	0.002668100102
2103	0.002666337337
2104	0.002664793001
2105	0.002663412692
2106	0.002662305798
2107	0.002659315366
2108	0.002658440308
2109	0.002657645683
2110	0.002655829672
2111	0.002653593572
2112	0.00265220276
2113	0.002651498677
2114	0.00265017615
2115	0.002648273326
2116	0.002646430195
2117	0.002644952599
2118	0.002644116921
2119	0.002643147662
2120	0.002641454177
2121	0.002640426462
2122	0.002639787602
2123	0.002638960922
2124	0.002637980009
2125	0.002636547642
2126	0.002635535524
2127	0.002633747285
2128	0.00263254791
2129	0.002632193937
2130	0.002630476712
2131	0.002628163891
2132	0.002627075389
2133	0.002625780366
2134	0.002624554625
2135	0.002623586269
2136	0.002621719424
2137	0.002620236936
2138	0.002618629654
2139	0.002617231785
2140	0.002615351195
2141	0.002614396924
2142	0.002613387236
2143	0.002612659486
2144	0.002611679018
2145	0.002610285837
2146	0.002608814166
2147	0.002607363736
2148	0.002605714807
2149	0.002604559539
2150	0.002603465591
2151	0.002602244238
2152	0.002600606844
2153	0.00259976604
2154	0.002597861216
2155	0.002595372899
2156	0.002594112803
2157	0.002592491259
2158	0.002590955535
2159	0.002590041822
2160	0.002588850953
2161	0.002588257586
2162	0.002586942526
2163	0.002586530569
2164	0.002584710029
2165	0.002583188362
2166	0.002581439758
2167	0.002580129676
2168	0.002578936776
2169	0.002577546733
2170	0.00257691545
2171	0.002575563361
2172	0.002574414072
2173	0.002573383202
2174	0.002572065494
2175	0.002570431169
2176	0.002569154562
2177	0.002567886854
2178	0.002566052828
2179	0.002564078947
2180	0.002562593845
2181	0.002561515824
2182	0.002560695955
2183	0.002558982479
2184	0.002557552933
2185	0.002556233814
2186	0.002553916011
2187	0.002552966512
2188	0.002551898378
2189	0.002550503882
2190	0.002549531039
2191	0.002549089678
2192	0.002546923884
2193	0.002545872931
2194	0.002544809004
2195	0.002543039045
2196	0.002541710653
2197	0.002540733778
2198	0.002539039813
2199	0.00253822457
2200	0.002537502883
2201	0.002536333248
2202	0.002535054319
2203	0.00253307516
2204	0.002532242513
2205	0.002531245764
2206	0.002530049079
2207	0.002528319964
2208	0.002526684364
2209	0.002525607628
2210	0.00252415749
2211	0.002523456718
2212	0.002522170074
2213	0.002520399192
2214	0.002519245442
2215	0.002517672138
2216	0.002517295297
2217	0.002515994476
2218	0.002514574406
2219	0.002513526064
2220	0.002512192788
2221	0.002510631003
2222	0.00250894983
2223	0.002508009232
2224	0.002507057493
2225	0.002505650061
2226	0.002504505399
2227	0.002503474799
2228	0.002502675705
2229	0.002500898337
2230	0.002498250033
2231	0.002496709071
2232	0.00249567656
2233	0.002494459433
2234	0.00249298126
2235	0.002491439924
2236	0.002490121031
2237	0.002489071288
2238	0.00248758049
2239	0.002485849515
2240	0.002484974141
2241	0.002484249322
2242	0.002483335453
2243	0.002482212913
2244	0.00248082809
2245	0.002480068795
2246	0.002479279693
2247	0.002478044857
2248	0.002476739391
2249	0.00247555202
2250	0.002474125704
2251	0.002473541003
2252	0.002472767706
2253	0.00247202334
2254	0.002471648867
2255	0.00247082069
2256	0.002469898736
2257	0.002469176447
2258	0.002468183561
2259	0.002466649752
2260	0.002465859771
2261	0.002464559805
2262	0.002463481372
2263	0.00246131352
2264	0.002460731167
2265	0.002460283874
2266	0.002459394946
2267	0.002458270422
2268	0.002457529644
2269	0.002456760384
2270	0.002455197058
2271	0.002453770855
2272	0.002452566175
2273	0.002451993017
2274	0.002451204368
2275	0.002450030109
2276	0.00244830945
2277	0.002447420467
